Address,Airdrop Amount
0x823B90c07da0683820f32148EccCB4FB3486b08E,11111111
0x4c3F35dC3c4E3109748990C21204BDb3016235E1,11111111
0x538e5e153ae0704e99eaca95c52fa915abb1d6a4,11111111
0xd352273d2b8eee69296d7e87e619f3270fe46ae2,11111111
0xf19BCe65007C84eb1D5E2a390f94311bEC04507b,11111111
0xbb9a9644dbb8952a0ad03f7ce7671c07f5643bb3,11111111
0x692090cb614a829ba305681e2a18d5d78f9558e8,11111111
0x7bd5ad025e4b330668eacae68d1df9113c8b2119,11111111
0x9675b745f2913228b9c4f8e1b8c21c32f06d58db,11111111
0x0a9643381b7A6fE41E693c4dD0e4caE57bb2bD69,11111111
0x24952255f01f66c9118926604c7984a60c48ca05,11111111
0x3dff271e2c040277509a76f5410abdbcfeb1344b,11111111
0xb46bf163c3b7de6b80270ece9012a276863842f0,11111111
0xa9dCdEE9090F6E7077B26be01BaadC34280951c7,11111111
0x675965F40698279c1cC25cb8ceF9C4bEf4C7F28B,11111111
0x142b31089c4185102a08EE4Ad11593c2686555d4,11111111
0x009bc10e73ffFBce9554f56a0Fc45B879efFd1fd,11111111
0xb742D8FE9b8A408ecBDC57F393CF0e231FC029d1,11111111
0xcaA81ACdA81928F6dadc7A107673Dbe03C50B1fb,11111111
0xa80570dc859cfe654c758434d56843477a879513,11111111
0x67a24bb3364a8a5376de3a862ce67b5a324bf380,11111111
0x39f2340a20b44e5D4f06D221810cDbeeFfA2ea07,11111111
0xa33c9eeab39d39e8b602fff01069fe455e46265a,11111111
0x3b1FEe7C7256F54bdF4c9F7a62ceD185B3089D62,11111111
0xeb62fba39fbef0b71f3e020434b448e3929770f2,11111111
0xC063EB78fd7CB31AF5d66Cda2Bf87EA0e6a6963f,11111111
0x4Da34947a4258E6472aD3CE1F434ada2948370d3,11111111
0xd88d41b5eefe685520525455f0bd5ab6b1635f8c,11111111
0xC3EA28E1E614e8cfB52d9fE4B2E3e5fB4Ab6e0C1,11111111
0xa787982969073d3b4fa4120b7d9c505fab3517d4,11111111
0x60eac8ab9136828bdcd881420d90a54c5723c23d,11111111
